Time,P1(bar),P2(bar),T,P1a,P2a,p1b,p2b,CEFNI,,,,
141,74.75092593,8,573.5871264,324.2862665,0.615733417,306.8442871,0.503246696,55.61776163,,,,
142,74.72314815,7,573.256032,324.2862665,0.615733417,306.7302624,0.440595186,63.92760063,,,,
143,74.69537037,7,573.9465676,324.2862665,0.615733417,306.6162377,0.44006509,64.40622538,,,,
144,74.65648148,5,420.9148098,324.2862665,0.615733417,306.4566031,0.428613789,66.70425856,,,,
145,74.61759259,5,316.3143053,324.2862665,0.615733417,306.2969685,0.570350086,50.56157486,,,,
146,74.5787037,5,293.101536,324.2862665,0.615733417,306.1373339,0.615520116,47.25309777,,,,
147,74.53981481,5,293,324.2862665,0.615733417,305.9776993,0.615733417,47.63858025,,,,
148,74.50740741,6,376.0827714,324.2862665,0.615733417,305.8446705,0.575649527,51.31396639,,,,
149,74.475,6,450.0258153,324.2862665,0.615733417,305.7116417,0.481065446,61.83161859,,,,
150,74.45069444,8,573.0105508,324.2862665,0.615733417,305.6118701,0.503753073,59.3538834,,,,
151,74.42638889,8,573.3363771,324.2862665,0.615733417,305.5120985,0.503466791,59.69479559,,,,
152,74.40208333,8,573.7846763,324.2862665,0.615733417,305.4123268,0.503073431,60.04887418,,,,
153,74.37777778,8,573.9788853,324.2862665,0.615733417,305.3125552,0.502903214,60.37670544,,,,
154,74.35,7,420.976103,324.2862665,0.615733417,305.1985305,0.599971937,50.90301003,,,,
155,74.31759259,6,316.7947273,324.2862665,0.615733417,305.0655017,0.683382174,44.99176791,,,,
156,74.2787037,5,293.9456493,324.2862665,0.615733417,304.9058671,0.613752548,50.49918877,,,,
157,74.23981481,5,293,324.2862665,0.615733417,304.7462325,0.615733417,50.73858025,,,,
158,74.20740741,6,376.8168681,324.2862665,0.615733417,304.6132037,0.574528074,54.73646198,,,,
159,74.175,6,450.553863,324.2862665,0.615733417,304.4801749,0.480501639,65.87663018,,,,
160,74.15069444,8,573.109055,324.2862665,0.615733417,304.3804032,0.50366649,63.15384368,,,,
161,74.12638889,8,573.5936686,324.2862665,0.615733417,304.2806316,0.503240956,63.51454589,,,,
162,74.10208333,8,573.0535944,324.2862665,0.615733417,304.18086,0.503715235,63.76175376,,,,
163,74.07777778,8,573.5358157,324.2862665,0.615733417,304.0810884,0.503291718,64.12267805,,,,
164,74.05,7,420.3576605,324.2862665,0.615733417,303.9670637,0.600854633,54.00499441,,,,
165,74.01759259,6,316.228917,324.2862665,0.615733417,303.8340349,0.684604911,47.6995494,,,,
166,73.9787037,5,293.4458262,324.2862665,0.615733417,303.6744003,0.614797946,53.51803725,,,,
167,73.93981481,5,293,324.2862665,0.615733417,303.5147657,0.615733417,53.83858025,,,,
168,73.90740741,6,376.9252576,324.2862665,0.615733417,303.3817369,0.574362862,58.07549531,,,,
169,73.87962963,7,450.1128154,324.2862665,0.615733417,303.2677121,0.56113454,59.75954708,,,,
170,73.85532407,8,573.4065618,324.2862665,0.615733417,303.1679405,0.503405167,66.91983752,,,,
